2013,722,362
2013,879,125
2013,919,44
2013,822,441
2013,862,837
2013,836,434
2013,993,146
2013,779,1152
2013,936,250
2013,976,929
2013,793,815
2013,950,68
2013,736,110
2013,893,230
2013,907,213
2013,810,247
2013,850,141
2013,727,9
2013,767,175
2013,924,293
2013,964,164
2013,867,1985
2013,841,228
2013,881,1284
2013,784,1038
2013,824,314
2013,981,369
2013,798,730
2013,955,353
2013,898,15
2013,938,556
2013,855,337
2013,869,1945
2013,969,647
2013,715,2913
2013,983,205
2013,729,202
2013,886,209
2013,926,261
2013,843,363
2013,786,302
2013,943,8
2013,760,593
2013,917,395
2013,957,645
2013,860,712
2013,900,147
2013,874,973
2013,817,41
2013,974,510
2013,831,219
2013,988,307
2013,931,487
2013,945,527
2013,888,71
2013,791,255
2013,765,537
2013,962,403
2013,708,2992
2013,748,513
2013,905,389
2013,859,2032
2013,762,614
2013,802,53
2013,959,282
2013,999,748
2013,973,846
2013,876,1988
2013,719,61
2013,916,285
2013,819,153
2013,833,96
2013,990,263
2013,933,446
2013,947,167
2013,890,81
2013,707,2866
2013,864,2613
2013,904,580
2013,807,108
2013,978,168
2013,764,317
2013,921,1493
2013,961,495
2013,935,320
2013,838,221
2013,878,1006
2013,781,1032
2013,795,625
2013,952,494
2013,992,271
2013,738,622
2013,895,210
2013,712,3716
2013,909,353
2013,852,705
2013,826,343
2013,866,88
2013,769,186
2013,966,570
2013,783,1290
2013,940,429
2013,980,229
2013,726,160
2013,883,1777
2013,923,671
2013,897,4
2013,800,465
2013,997,332
2013,743,503
2013,717,217
2013,914,91
2013,954,565
2013,857,191
2013,871,938
2013,814,209
2013,971,169
2013,788,296
2013,985,278
2013,828,2
2013,928,405
2013,902,36
2013,942,7
2013,885,233
2013,996,334
2013,742,264
2013,899,203
2013,939,422
2013,816,69
2013,856,565
2013,759,184
2013,799,614
2013,956,196
2013,930,656
2013,970,307
2013,716,1234
2013,873,2000
2013,913,116
2013,887,66
2013,790,323
2013,987,287
2013,747,264
2013,944,290
2013,958,408
2013,861,183
2013,804,156
2013,975,262
2013,761,529
2013,918,250
2013,892,354
2013,932,431
2013,835,707
2013,875,1499
2013,849,442
2013,792,460
2013,949,259
2013,989,164
2013,963,258
2013,906,160
2013,809,728
2013,920,289
2013,823,69
2013,766,297
2013,780,1005
2013,937,493
2013,977,487
2013,880,1698
2013,723,61
2013,854,796
2013,894,239
2013,797,863
2013,994,253
2013,811,102
2013,968,218
2013,714,1645
2013,911,10
2013,951,386
2013,925,395
2013,868,676
2013,785,283
2013,982,197
2013,839,61
2013,782,1485
2013,979,508
2013,796,454
2013,953,476
2013,739,147
2013,896,126
2013,910,340
2013,813,297
2013,853,116
2013,730,171
2013,770,616
2013,927,15
2013,967,362
2013,870,3653
2013,713,173
2013,844,376
2013,884,2414
2013,787,301
2013,984,293
2013,801,876
2013,998,886
2013,941,136
2013,915,79
2013,858,1308
2013,872,798
2013,815,198
2013,972,594
2013,718,217
2013,986,240
2013,889,353
2013,929,574
2013,832,345
2013,806,248
2013,789,362
2013,946,56
2013,763,537
2013,960,139
2013,863,1253
2013,903,25
2013,877,2021
2013,820,170
2013,991,220
2013,934,410
2013,948,522
2013,891,89
2013,794,733
2013,768,305
2013,808,413
2013,965,496
2013,711,3017
2013,908,236
2013,725,207
2013,882,205
2013,922,1131
2013,825,307
2013,865,1498
